epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.454,3.34913,4.69622,1.63245,0.00466,0.35,0.00521,0.00107,3.01015,4.41428,1.50515,0.000540231,0.000540231,0.000540231
2,21.3066,2.7536,3.77576,1.31434,0.00699,0.525,0.00971,0.00214,2.55946,4.12469,1.27033,0.00108505,0.00108505,0.00108505
3,30.6738,2.64944,3.6392,1.30023,0.00417,0.30833,0.00194,0.00044,2.76249,4.47747,1.39765,0.00161886,0.00161886,0.00161886
4,39.8746,2.68452,3.54396,1.30761,0.009,0.675,0.01723,0.00421,2.52351,3.74673,1.25762,0.00161749,0.00161749,0.00161749
5,49.9323,2.72715,3.50834,1.2989,0.01101,0.825,0.01494,0.00482,2.48189,3.54864,1.2311,0.00160099,0.00160099,0.00160099
6,58.4245,2.62921,3.37268,1.25068,0.00988,0.74167,0.01261,0.00411,2.43062,3.53653,1.20637,0.00158448,0.00158448,0.00158448
7,65.4865,2.56935,3.27022,1.24517,0.01063,0.8,0.01207,0.00436,2.33797,3.42598,1.20151,0.00156798,0.00156798,0.00156798
8,71.7899,2.58261,3.24232,1.23973,0.01016,0.75833,0.01125,0.00402,2.49457,3.27389,1.22982,0.00155148,0.00155148,0.00155148
9,79.0612,2.63162,3.14766,1.2602,0.01156,0.86667,0.01434,0.00552,2.35482,3.2311,1.21483,0.00153497,0.00153497,0.00153497
10,87.4849,2.54689,3.098,1.24262,0.01085,0.80833,0.0124,0.00358,2.69307,3.21789,1.31086,0.00151847,0.00151847,0.00151847
11,96.4575,2.54911,3.12153,1.25125,0.0115,0.85833,0.01554,0.00497,2.55287,3.17774,1.26006,0.00150197,0.00150197,0.00150197
12,105.843,2.51914,3.05797,1.22923,0.01034,0.775,0.01341,0.00475,2.42609,3.16115,1.2287,0.00148546,0.00148546,0.00148546
13,114.117,2.45714,3.02055,1.2217,0.01102,0.825,0.01544,0.00496,2.5355,3.05308,1.26564,0.00146896,0.00146896,0.00146896
