epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26758,4.09703,5.02217,2.1707,0.002,0.1519,0.00037,7e-05,3.14892,4.43604,1.56032,0.00022,0.00022,0.00022
2,5.33414,2.97582,3.67219,1.4052,0.00517,0.39241,0.00382,0.00074,3.16948,4.27217,1.6583,0.000455446,0.000455446,0.000455446
3,7.47867,2.81036,3.43362,1.3425,0.00883,0.67089,0.0092,0.00187,2.68864,3.95191,1.35747,0.00068614,0.00068614,0.00068614
4,9.4691,2.63002,3.25278,1.29682,0.00667,0.50633,0.00465,0.00101,2.63768,4.04009,1.3625,0.000912082,0.000912082,0.000912082
5,11.2571,2.64697,3.14488,1.29341,0.00617,0.46835,0.00483,0.00103,3.18894,3.55796,1.72802,0.00113327,0.00113327,0.00113327
6,13.2068,2.76978,3.15003,1.339,0.0115,0.87342,0.03095,0.00858,2.47536,2.9713,1.30148,0.00134971,0.00134971,0.00134971
7,15.4164,2.62946,3.08904,1.31642,0.0125,0.94937,0.02293,0.00753,2.53916,2.8911,1.25309,0.0015614,0.0015614,0.0015614
8,17.4429,2.64652,3.01655,1.28347,0.01133,0.86076,0.02795,0.00871,2.39679,2.8538,1.26101,0.00176833,0.00176833,0.00176833
9,19.7504,2.60908,2.96216,1.27328,0.01133,0.86076,0.02065,0.00686,2.48771,2.93122,1.3111,0.0018416,0.0018416,0.0018416
10,21.6576,2.58155,2.86052,1.23772,0.013,0.98734,0.03605,0.01149,2.58804,2.77148,1.31176,0.0018218,0.0018218,0.0018218
11,23.7594,2.67041,2.7958,1.31812,0.0115,0.87342,0.02568,0.00558,2.92282,2.94247,1.44048,0.001802,0.001802,0.001802
12,25.4996,2.56274,2.8,1.23278,0.01233,0.93671,0.0461,0.0136,2.35205,2.68105,1.24278,0.0017822,0.0017822,0.0017822
13,27.7228,2.58909,2.77378,1.24399,0.01317,1,0.03767,0.014,2.26897,2.64439,1.19707,0.0017624,0.0017624,0.0017624
14,29.9725,2.52976,2.76349,1.25519,0.01217,0.92405,0.04688,0.01604,2.32998,2.74473,1.20089,0.0017426,0.0017426,0.0017426
15,32.2886,2.57903,2.71066,1.24173,0.011,0.83544,0.05427,0.01265,2.5839,2.85386,1.31873,0.0017228,0.0017228,0.0017228
16,33.9944,2.63767,2.67667,1.26829,0.0125,0.94937,0.04609,0.01074,2.82048,2.70532,1.327,0.001703,0.001703,0.001703
17,35.7691,2.56465,2.67156,1.25021,0.01033,0.78481,0.03491,0.01267,2.30309,3.03456,1.18961,0.0016832,0.0016832,0.0016832
18,37.7197,2.52247,2.6643,1.24539,0.01233,0.93671,0.02446,0.00833,2.47973,2.79515,1.26235,0.0016634,0.0016634,0.0016634
19,39.5393,2.48876,2.66086,1.23228,0.01317,1,0.03232,0.01221,2.40209,2.57824,1.22537,0.0016436,0.0016436,0.0016436
20,41.3794,2.41792,2.66768,1.25429,0.01267,0.96203,0.0391,0.01473,2.41635,2.60826,1.27869,0.0016238,0.0016238,0.0016238
21,43.3202,2.49488,2.60899,1.232,0.01233,0.93671,0.0303,0.01117,2.53604,2.65425,1.31509,0.001604,0.001604,0.001604
22,45.2391,2.46216,2.58845,1.19916,0.01283,0.97468,0.03098,0.0118,2.29572,2.57401,1.22246,0.0015842,0.0015842,0.0015842
23,47.1792,2.45993,2.57552,1.21133,0.01267,0.96203,0.03797,0.01387,2.28392,2.63804,1.22227,0.0015644,0.0015644,0.0015644
24,49.0752,2.46411,2.59655,1.20398,0.01317,1,0.03393,0.01207,2.48862,2.50989,1.2974,0.0015446,0.0015446,0.0015446
25,50.9728,2.4588,2.54823,1.20916,0.01283,0.97468,0.03226,0.01193,2.34833,2.68733,1.2521,0.0015248,0.0015248,0.0015248
26,52.8374,2.46358,2.51625,1.20608,0.013,0.98734,0.03339,0.01245,2.25575,2.53126,1.20083,0.001505,0.001505,0.001505
27,54.8809,2.48041,2.55754,1.25809,0.01267,0.96203,0.03033,0.01201,2.28375,2.66637,1.2444,0.0014852,0.0014852,0.0014852
28,56.7306,2.4522,2.54546,1.21262,0.01493,0.94937,0.03639,0.01353,2.30538,2.73555,1.21359,0.0014654,0.0014654,0.0014654
29,58.5817,2.44703,2.54302,1.23498,0.013,0.98734,0.04125,0.01545,2.30125,2.58427,1.23013,0.0014456,0.0014456,0.0014456
30,60.3477,2.46258,2.55826,1.21712,0.01317,1,0.04107,0.01809,2.22084,2.58756,1.2033,0.0014258,0.0014258,0.0014258
31,62.6452,2.4584,2.50003,1.21569,0.0132,0.97468,0.03479,0.0138,2.21885,2.59785,1.18343,0.001406,0.001406,0.001406
32,64.4963,2.41436,2.5128,1.20102,0.01313,0.98734,0.04066,0.01404,2.24584,2.59537,1.1984,0.0013862,0.0013862,0.0013862
33,66.2378,2.44624,2.52956,1.22059,0.013,0.98734,0.03242,0.01161,2.28613,2.66987,1.18469,0.0013664,0.0013664,0.0013664
34,68.0481,2.45354,2.49724,1.18921,0.01318,1,0.03084,0.01339,2.24399,2.53357,1.19642,0.0013466,0.0013466,0.0013466
35,69.8542,2.48826,2.4994,1.20951,0.01334,0.97468,0.03073,0.01287,2.24301,2.58803,1.18872,0.0013268,0.0013268,0.0013268
36,71.7029,2.43849,2.51031,1.21581,0.01362,0.97468,0.03113,0.01312,2.26601,2.59114,1.19895,0.001307,0.001307,0.001307
37,73.5548,2.47098,2.48862,1.20623,0.0125,0.94937,0.02897,0.01202,2.24824,2.62657,1.18522,0.0012872,0.0012872,0.0012872
38,75.2723,2.43517,2.52598,1.23115,0.01251,0.94937,0.02716,0.0112,2.29835,2.58709,1.2172,0.0012674,0.0012674,0.0012674
39,77.014,2.45846,2.49663,1.22427,0.01266,0.93671,0.0265,0.01035,2.35656,2.65325,1.27887,0.0012476,0.0012476,0.0012476
40,78.9139,2.4844,2.4977,1.21682,0.01317,1,0.02914,0.01167,2.28179,2.50602,1.21368,0.0012278,0.0012278,0.0012278
41,80.833,2.42807,2.46968,1.20421,0.013,0.98734,0.03406,0.01254,2.23612,2.54765,1.18519,0.001208,0.001208,0.001208
42,82.7575,2.36386,2.48696,1.19747,0.01317,1,0.0322,0.01277,2.17253,2.59122,1.17807,0.0011882,0.0011882,0.0011882
43,84.5595,2.42416,2.47159,1.18602,0.01317,1,0.03524,0.01373,2.17372,2.59004,1.17366,0.0011684,0.0011684,0.0011684
44,86.3154,2.43459,2.44358,1.18895,0.01448,0.97468,0.03321,0.01337,2.16431,2.60236,1.17143,0.0011486,0.0011486,0.0011486
45,88.0317,2.40987,2.48454,1.22331,0.01913,0.87342,0.03443,0.0137,2.12804,3.02512,1.18751,0.0011288,0.0011288,0.0011288
46,89.9024,2.36307,2.48955,1.20735,0.01579,0.94937,0.03153,0.01249,2.18455,2.65047,1.21188,0.001109,0.001109,0.001109
47,91.9006,2.34865,2.46954,1.1941,0.0151,0.96203,0.0317,0.01283,2.16171,2.6751,1.2042,0.0010892,0.0010892,0.0010892
48,93.7521,2.42614,2.4595,1.20169,0.01457,0.96203,0.04039,0.01343,2.39963,2.57965,1.31263,0.0010694,0.0010694,0.0010694
49,95.5967,2.44991,2.47019,1.22431,0.01525,1,0.03152,0.01209,2.24947,2.58906,1.20198,0.0010496,0.0010496,0.0010496
50,97.5613,2.36976,2.4934,1.20614,0.01576,0.97468,0.0388,0.01304,2.18921,2.61993,1.21372,0.0010298,0.0010298,0.0010298
51,99.3347,2.38686,2.46893,1.19397,0.0129,0.97468,0.0385,0.01332,2.18011,2.5797,1.2016,0.00101,0.00101,0.00101
52,101.186,2.37941,2.49581,1.2035,0.01337,0.97468,0.05069,0.01446,2.45712,2.5806,1.3121,0.0009902,0.0009902,0.0009902
53,103.041,2.39987,2.45374,1.20476,0.01311,0.94937,0.03673,0.01239,2.32305,2.6103,1.20321,0.0009704,0.0009704,0.0009704
54,104.788,2.41154,2.4995,1.20731,0.01382,0.98734,0.03332,0.01359,2.31569,2.52288,1.23457,0.0009506,0.0009506,0.0009506
55,106.605,2.487,2.44918,1.21631,0.01512,0.96203,0.03426,0.01168,2.32446,2.63969,1.20408,0.0009308,0.0009308,0.0009308
56,108.425,2.39932,2.48187,1.19869,0.01417,1,0.03169,0.0117,2.29554,2.56084,1.21058,0.000911,0.000911,0.000911
57,110.331,2.40807,2.42966,1.19541,0.01492,0.96203,0.02944,0.01064,2.35675,2.60224,1.24032,0.0008912,0.0008912,0.0008912
58,112.187,2.42146,2.43942,1.18452,0.01498,0.97468,0.02869,0.01087,2.22138,2.61179,1.19052,0.0008714,0.0008714,0.0008714
59,114.044,2.35226,2.46934,1.17906,0.01286,0.97468,0.04182,0.01382,2.18844,2.55496,1.17398,0.0008516,0.0008516,0.0008516
60,119.355,2.30789,2.43431,1.16622,0.01286,0.97468,0.0392,0.01383,2.23842,2.57793,1.17755,0.0008318,0.0008318,0.0008318
