epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.29462,4.14712,5.47876,2.19933,0.00286,0.25397,0.00068,0.0001,3.07601,4.32555,1.56783,0.00018337,0.00018337,0.00018337
2,11.5008,3.03243,4.03358,1.41811,0.00545,0.57242,0.00276,0.00068,2.77879,4.12698,1.41926,0.000379614,0.000379614,0.000379614
3,14.1868,2.88136,3.76001,1.39289,0.00327,0.33929,0.00094,0.00021,3.97145,4.07239,2.00387,0.000571898,0.000571898,0.000571898
4,15.9519,2.65115,3.51288,1.30525,0.00163,0.06944,0.00023,6e-05,2.71335,3.91167,1.39541,0.00076022,0.00076022,0.00076022
5,17.3111,2.66419,3.43117,1.29725,0,0,0,0,4.3892,4.27151,2.51596,0.000944582,0.000944582,0.000944582
6,19.4694,2.58743,3.34427,1.28308,0,0,0,0,3.65259,4.13301,2.00438,0.00112498,0.00112498,0.00112498
7,21.0683,2.60469,3.21012,1.29367,0.00537,0.33532,0.01477,0.00395,2.88122,3.46683,1.46599,0.00130142,0.00130142,0.00130142
8,22.6369,2.69267,3.21232,1.301,0.00514,0.37202,0.01775,0.00437,2.47919,3.54621,1.2773,0.0014739,0.0014739,0.0014739
9,24.7991,2.69907,3.19232,1.31177,0.01357,0.82937,0.0499,0.01231,2.49003,2.96479,1.30424,0.00153497,0.00153497,0.00153497
10,26.5287,2.60648,3.13951,1.2403,0.01285,0.99306,0.04566,0.01059,2.60679,2.86364,1.3009,0.00151847,0.00151847,0.00151847
11,28.128,2.58156,3.07646,1.26912,0.00949,0.94444,0.03976,0.01173,2.62632,2.92458,1.28877,0.00150197,0.00150197,0.00150197
12,30.1094,2.51391,3.03926,1.22991,0.01017,0.98611,0.02992,0.0112,2.48932,2.84619,1.3077,0.00148546,0.00148546,0.00148546
13,31.5026,2.60619,2.95544,1.25321,0.01208,1,0.03608,0.0137,2.38437,2.7766,1.25103,0.00146896,0.00146896,0.00146896
14,33.0638,2.56547,2.97344,1.27275,0.52449,0.28571,0.06089,0.0219,2.32322,2.76539,1.21159,0.00145246,0.00145246,0.00145246
15,34.5842,2.56964,2.88639,1.22971,0.01028,0.97917,0.053,0.01458,2.61371,2.73019,1.38238,0.00143595,0.00143595,0.00143595
16,35.9049,2.59234,2.82228,1.26019,0.01031,0.97222,0.05047,0.0123,2.36918,2.7351,1.24142,0.00141945,0.00141945,0.00141945
17,37.1563,2.54886,2.85154,1.24186,0.0104,0.95139,0.02818,0.01129,2.32173,2.72412,1.24373,0.00140295,0.00140295,0.00140295
18,38.4278,2.48637,2.79188,1.24015,0.02448,0.64881,0.06229,0.02323,2.35448,2.61033,1.27257,0.00138644,0.00138644,0.00138644
19,40.0043,2.53174,2.78368,1.23971,0.00862,0.88889,0.05715,0.01687,2.42509,2.97308,1.23248,0.00136994,0.00136994,0.00136994
20,41.3271,2.44819,2.78436,1.253,0.0132,1,0.03979,0.01427,2.33895,2.56984,1.2316,0.00135344,0.00135344,0.00135344
21,42.6023,2.48155,2.72528,1.22343,0.02192,0.65774,0.03562,0.01416,2.44846,2.80484,1.29736,0.00133693,0.00133693,0.00133693
22,43.9285,2.46603,2.7144,1.21233,0.00946,0.9375,0.02935,0.01109,2.28724,2.88217,1.24291,0.00132043,0.00132043,0.00132043
23,45.7296,2.46519,2.72125,1.22082,0.01063,0.94444,0.03158,0.01296,2.30391,2.82337,1.21668,0.00130393,0.00130393,0.00130393
24,47.6712,2.38309,2.67568,1.193,0.01181,0.97222,0.0357,0.01486,2.3009,2.66605,1.20243,0.00128742,0.00128742,0.00128742
25,48.9594,2.4443,2.65432,1.21315,0.01004,0.83829,0.06418,0.02234,2.2897,3.00743,1.21469,0.00127092,0.00127092,0.00127092
26,50.2529,2.44247,2.61475,1.20552,0.01004,0.95833,0.11088,0.04338,2.23823,2.81818,1.21702,0.00125442,0.00125442,0.00125442
27,51.7905,2.43829,2.655,1.25747,0.01237,0.90079,0.06475,0.02198,2.12003,2.64776,1.18051,0.00123791,0.00123791,0.00123791
28,53.0595,2.42233,2.64903,1.21215,0.01042,0.97222,0.05894,0.02382,2.33879,2.68847,1.2541,0.00122141,0.00122141,0.00122141
29,54.3541,2.4194,2.62256,1.23389,0.01002,0.97222,0.11219,0.04378,2.59458,2.68867,1.36928,0.00120491,0.00120491,0.00120491
30,56.2747,2.39633,2.66457,1.21321,0.01166,0.97917,0.03958,0.01588,2.4567,2.68281,1.32026,0.0011884,0.0011884,0.0011884
31,58.1949,2.42824,2.61643,1.21451,0.01469,1,0.04036,0.01678,2.363,2.62309,1.2731,0.0011719,0.0011719,0.0011719
32,59.4655,2.42217,2.62966,1.21135,0.01416,0.74802,0.02357,0.00796,2.70271,3.26553,1.41626,0.0011554,0.0011554,0.0011554
33,60.7317,2.45954,2.59719,1.23565,0.02105,0.18254,0.00643,0.00177,3.36694,4.06361,1.57179,0.00113889,0.00113889,0.00113889
34,61.9906,2.47933,2.59741,1.18804,0.01711,0.1756,0.00686,0.0019,3.74853,3.90221,1.73416,0.00112239,0.00112239,0.00112239
35,63.2963,2.52184,2.58841,1.23839,0.01244,0.82639,0.02416,0.00933,2.63116,3.30721,1.35672,0.00110589,0.00110589,0.00110589
36,64.5833,2.40946,2.59275,1.20629,0.01205,0.98611,0.03133,0.01248,2.29837,2.63439,1.22334,0.00108938,0.00108938,0.00108938
37,65.8573,2.39528,2.5317,1.19538,0.01285,0.98611,0.03376,0.01324,2.27168,2.61038,1.19842,0.00107288,0.00107288,0.00107288
38,67.0947,2.41786,2.59311,1.22541,0.01118,0.97222,0.03367,0.011,2.41438,2.67422,1.28789,0.00105638,0.00105638,0.00105638
39,68.3873,2.44497,2.55175,1.22181,0.0124,0.95139,0.02711,0.00894,2.48044,2.89163,1.3143,0.00103987,0.00103987,0.00103987
40,69.7343,2.42468,2.55567,1.20242,0.01191,0.96528,0.03385,0.01235,2.38842,2.75701,1.28063,0.00102337,0.00102337,0.00102337
41,71.0006,2.3611,2.53563,1.19164,0.01016,0.96528,0.02351,0.01016,2.3104,2.74096,1.25183,0.00100687,0.00100687,0.00100687
42,72.2729,2.38831,2.54684,1.21751,0.01251,0.99306,0.03641,0.01288,2.42482,2.66541,1.31243,0.000990365,0.000990365,0.000990365
43,73.9539,2.40529,2.49638,1.19387,0.51458,0.21429,0.03188,0.01123,2.22161,2.7012,1.2325,0.000973861,0.000973861,0.000973861
44,75.1589,2.3933,2.50474,1.1843,0.01165,0.98611,0.02967,0.01064,2.29694,2.72263,1.24576,0.000957358,0.000957358,0.000957358
45,76.454,2.35186,2.54807,1.20981,0.011,0.98611,0.04292,0.01475,2.27074,2.62771,1.23027,0.000940855,0.000940855,0.000940855
46,77.6715,2.31513,2.54766,1.20173,0.01155,0.91667,0.03057,0.00988,2.36751,2.98135,1.27929,0.000924352,0.000924352,0.000924352
47,78.9311,2.28733,2.52148,1.1837,0.01844,0.9375,0.03865,0.01386,2.27847,2.64239,1.213,0.000907848,0.000907848,0.000907848
48,80.198,2.40223,2.51698,1.19284,0.01466,0.99306,0.03776,0.01534,2.32344,2.6543,1.23759,0.000891345,0.000891345,0.000891345
49,81.4901,2.40438,2.49236,1.20833,0.01303,0.99306,0.0379,0.01442,2.21754,2.61154,1.18891,0.000874842,0.000874842,0.000874842
