epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51905,4.14712,5.47876,2.19933,0.00286,0.25397,0.00068,0.0001,3.07601,4.32555,1.56783,0.00018337,0.00018337,0.00018337
2,5.26417,3.03802,4.03117,1.4194,0.00576,0.65079,0.00316,0.00072,2.73465,4.11495,1.39843,0.000375818,0.000375818,0.000375818
3,7.12578,2.88732,3.75198,1.39693,0.00127,0.12004,0.00015,3e-05,4.07698,4.2156,2.20203,0.000560345,0.000560345,0.000560345
4,8.81267,2.64329,3.52719,1.31165,0.00129,0.05556,0.00015,2e-05,2.68909,3.90029,1.35486,0.000736951,0.000736951,0.000736951
5,10.2679,2.60065,3.42215,1.28849,0.00079,0.03472,7e-05,1e-05,3.33347,3.93125,1.65157,0.000905634,0.000905634,0.000905634
6,11.7714,2.69526,3.33937,1.31301,0.00048,0.02083,3e-05,1e-05,3.58556,4.07546,1.9344,0.0010664,0.0010664,0.0010664
7,13.2792,2.61784,3.2269,1.31331,0.00841,0.74603,0.02623,0.00734,2.59668,3.41328,1.30746,0.00121924,0.00121924,0.00121924
8,15.2706,2.56889,3.24724,1.25472,0.00236,0.23313,0.01823,0.00578,2.75083,3.9311,1.32794,0.00136416,0.00136416,0.00136416
9,16.6768,2.57643,3.21662,1.25619,0.01536,0.77877,0.04239,0.0127,2.63702,2.87126,1.33139,0.00140295,0.00140295,0.00140295
10,18.2379,2.57432,3.08364,1.25063,0.0093,0.93056,0.03041,0.01108,2.4347,3.01806,1.26673,0.00136994,0.00136994,0.00136994
11,19.5518,2.69206,3.01818,1.3203,0.00857,0.88889,0.02808,0.0098,2.3733,3.12557,1.2454,0.00133693,0.00133693,0.00133693
12,20.9544,2.69762,3.04412,1.27328,0.52673,0.21429,0.0515,0.01516,2.62097,2.97861,1.32087,0.00130393,0.00130393,0.00130393
13,23.0028,2.68579,2.9728,1.29885,0.01519,0.98611,0.03294,0.00934,2.88576,2.88493,1.43636,0.00127092,0.00127092,0.00127092
14,24.3513,2.54831,2.99011,1.25122,0.01122,0.99306,0.0563,0.02101,2.33045,2.8429,1.22144,0.00123791,0.00123791,0.00123791
15,29.522,2.52343,2.91449,1.22978,0.52409,0.07143,0.0732,0.02578,2.23843,2.83241,1.20216,0.00120491,0.00120491,0.00120491
16,31.3351,2.53028,2.86127,1.23246,0.02043,0.9375,0.04002,0.01334,2.35418,2.8822,1.22396,0.0011719,0.0011719,0.0011719
17,33.1652,2.4848,2.85922,1.22832,0.01017,0.96528,0.02491,0.00892,2.33471,2.80848,1.21637,0.00113889,0.00113889,0.00113889
18,34.8732,2.48283,2.86587,1.23517,0.01109,0.97222,0.03063,0.01186,2.35451,2.76094,1.25093,0.00110589,0.00110589,0.00110589
19,36.6109,2.49182,2.83937,1.23141,0.01267,0.99306,0.03424,0.01252,2.43943,2.61577,1.2984,0.00107288,0.00107288,0.00107288
20,38.0275,2.44861,2.83594,1.27378,0.01239,0.99306,0.03086,0.01272,2.31946,2.65148,1.26575,0.00103987,0.00103987,0.00103987
21,39.4736,2.44116,2.74177,1.2147,0.01137,0.97917,0.03045,0.01301,2.34044,2.67835,1.26315,0.00100687,0.00100687,0.00100687
22,41.1146,2.45345,2.75716,1.20183,0.01198,1,0.03974,0.0148,2.30818,2.57268,1.23527,0.000973861,0.000973861,0.000973861
23,42.9415,2.46197,2.7353,1.22335,0.01132,0.97222,0.04224,0.01342,2.46365,2.68897,1.245,0.000940855,0.000940855,0.000940855
24,44.7167,2.42397,2.7009,1.20875,0.01191,0.99306,0.03374,0.01294,2.18935,2.61634,1.19806,0.000907848,0.000907848,0.000907848
25,46.2529,2.43541,2.72191,1.20782,0.01287,1,0.03688,0.01384,2.19251,2.65403,1.18277,0.000874842,0.000874842,0.000874842
26,47.9894,2.37665,2.64554,1.18814,0.01065,0.98611,0.03663,0.01371,2.19335,2.68335,1.18878,0.000841835,0.000841835,0.000841835
27,49.6668,2.42047,2.69923,1.24635,0.01158,0.98611,0.03837,0.01253,2.12681,2.69032,1.1749,0.000808828,0.000808828,0.000808828
28,51.0984,2.4026,2.6887,1.19829,0.01295,0.97917,0.03741,0.01285,2.22736,2.69235,1.1745,0.000775822,0.000775822,0.000775822
29,52.4196,2.40185,2.6636,1.22479,0.01228,0.98611,0.03183,0.01129,2.24745,2.67172,1.19666,0.000742815,0.000742815,0.000742815
30,54.0828,2.42255,2.67498,1.21253,0.01227,0.91468,0.02758,0.01237,2.13522,2.68046,1.18026,0.000709809,0.000709809,0.000709809
31,55.5414,2.43696,2.6069,1.21691,0.01382,0.99306,0.0301,0.01196,2.30778,2.61494,1.20787,0.000676802,0.000676802,0.000676802
32,56.9293,2.39758,2.62005,1.19369,0.01269,0.98611,0.02786,0.01078,2.25579,2.71497,1.20885,0.000643795,0.000643795,0.000643795
33,58.1967,2.39536,2.60157,1.20834,0.01229,0.98611,0.02368,0.01075,2.13972,2.64433,1.18675,0.000610789,0.000610789,0.000610789
34,59.4592,2.43603,2.59864,1.17833,0.01158,1,0.02801,0.01134,2.14254,2.60122,1.20582,0.000577782,0.000577782,0.000577782
35,60.7656,2.43226,2.60041,1.19695,0.0122,0.99306,0.02995,0.01375,2.12885,2.58108,1.19768,0.000544776,0.000544776,0.000544776
36,62.1355,2.34045,2.61309,1.1918,0.01369,1,0.03168,0.01295,2.10369,2.59167,1.17778,0.000511769,0.000511769,0.000511769
37,63.4997,2.37438,2.5939,1.18916,0.01302,0.99306,0.02752,0.01072,2.17366,2.63546,1.17578,0.000478762,0.000478762,0.000478762
38,64.7495,2.32263,2.64562,1.20129,0.01175,0.98611,0.02555,0.01051,2.26392,2.63428,1.21734,0.000445756,0.000445756,0.000445756
39,66.4229,2.3696,2.60454,1.205,0.01146,0.97917,0.02487,0.0116,2.18334,2.68843,1.19464,0.000412749,0.000412749,0.000412749
40,67.9154,2.37789,2.60821,1.18276,0.01231,0.99306,0.02854,0.01337,2.11545,2.65902,1.18452,0.000379743,0.000379743,0.000379743
41,71.7397,2.22587,2.68992,1.22389,0.01496,1,0.04066,0.01712,2.21234,2.58229,1.22363,0.000346736,0.000346736,0.000346736
42,73.3917,2.25793,2.67649,1.23944,0.01445,1,0.04099,0.02117,2.20659,2.57226,1.19314,0.000313729,0.000313729,0.000313729
43,74.8254,2.19087,2.67466,1.24877,0.01377,1,0.04069,0.01811,2.21161,2.57521,1.21296,0.000280723,0.000280723,0.000280723
44,76.0929,2.25478,2.63644,1.23082,0.01651,0.98611,0.0357,0.01674,2.21963,2.58669,1.18839,0.000247716,0.000247716,0.000247716
45,77.3822,2.15839,2.67153,1.24445,0.01972,0.93056,0.04032,0.01946,2.18267,2.60378,1.1973,0.00021471,0.00021471,0.00021471
46,78.6746,2.19736,2.63914,1.23252,0.01614,0.97222,0.03415,0.01692,2.1769,2.60064,1.18581,0.000181703,0.000181703,0.000181703
47,80.0423,2.19605,2.66436,1.23784,0.0126,1,0.03259,0.01515,2.18522,2.60654,1.18542,0.000148696,0.000148696,0.000148696
48,81.3181,2.13248,2.64375,1.21763,0.0127,1,0.03252,0.01334,2.18798,2.61321,1.18606,0.00011569,0.00011569,0.00011569
